0xbf8178f7L _NtUserSetWindowStationUser@16
0xbf8179bcL __SetWindowStationUser@16
0xbf817a82L _FindImeHotKeyByKeyWithLang@20
0xbf817afaL _GetDpiScalingSetting@8
0xbf817bb1L _GreMarkDeletableFont@4
0xbf817becL _UpdateThresholdFromMetric@24
0xbf817c89L _UpdatePerUserKeyboardIndicators@4
0xbf817d35L _CalculateMouseTable@0
0xbf817de8L _MKHideMouseCursor@0
0xbf817e2aL _SetAccessEnabledFlag@0
0xbf817e8aL _SetMouseTrails@4
0xbf817f17L _GreSetFontContrast@4
0xbf817f33L _GreSetLCDOrientation@4
0xbf817f5bL _LW_LoadResources@4
0xbf81805bL _UpdatePerUserImmEnabling@0
0xbf818089L _zzzSetSystemImage@8
0xbf818272L _NtUserSetImeHotKey@20
0xbf8182a4L _FindImeHotKeyByID@8
0xbf8182c5L _AddImeHotKey@8
0xbf8182efL _SetImeHotKey@20
0xbf81841bL _GetKbdLangSwitch@4
0xbf81849aL _xxxUpdateSystemCursorsFromRegistry@4
0xbf81855cL _NtUserSetImeInfoEx@4
0xbf8185e9L _SetImeInfoEx@8
0xbf818633L _UpdateKeyLights@4
0xbf8187acL _CalcProtocolTypeForNotification@12
0xbf8187dcL _DwmAsyncNotifyProtocolChange@8
0xbf818847L _xxxDwmProcessStartup@12
0xbf81898eL _SetDwmTokenEvent@4
0xbf8189b7L _SetDwmApiPort@4
0xbf8189e4L _SetThreadDesktopIsDwmDesktop@4
0xbf818a0eL _NtUserRegisterSessionPort@8
0xbf818a60L _xxxRemoteNotify@4
0xbf818afbL _DestroyAniIcon@4
0xbf818b48L _NtUserDoSoundConnect@0
0xbf818c4eL _SetMinMetrics@8
0xbf818d42L _ParseReserved@8
0xbf818de9L _xxxSPISetMinMetrics@12
0xbf818e61L _xxxSetAndDrawMinMetrics@8
0xbf818edbL _SetWindowCompositionFlip3DPolicy@8
0xbf818f4aL _NtUserCallHwndOpt@8
0xbf818f91L __SetTaskmanWindow@4
0xbf818fcdL _FastGetProfileStringFromIDW@28
0xbf81902cL _NtUserSetShellWindowEx@8
0xbf8190edL _xxxSetShellWindow@8
0xbf8191b8L _LoadWallpaperFilenameFromRegistry@12
0xbf81926dL _SetBitMask@12
0xbf8192aaL _IsBitSet@8
0xbf8192d7L _GCInsertHashElement@8
0xbf8192fcL _NtUserSetGestureConfig@20
0xbf819423L sub_BF819423
0xbf819445L _SortGestureConfigArray@8
0xbf819546L _SetWindowGCData@8
0xbf819571L _SetGestureConfigSettings@20
0xbf81966fL _GetGCData@4
0xbf8196a3L __StoreGestureConfig@12
0xbf819828L _GetWindowGCList@4
0xbf819869L _NtUserSwitchDesktop@8
0xbf819944L _xxxSwitchDesktop@12
0xbf819e04L _xxxDwmSyncFlushIfNeeded@4
0xbf819e4fL _zzzCancelJournalling@0
0xbf819f4fL _InterQueueMsgCleanup@4
0xbf819fd6L _GreDesktopSwitch@12
0xbf81a090L _GreRealizeDefaultPalette@8
