0xbf9e3cadL 1 2 ?UMPDDrvLineTo@@YGHPAU_SURFOBJ@@PAU_CLIPOBJ@@PAU_BRUSHOBJ@@JJJJPAU_RECTL@@K@Z
0xbf9e3e08L 1 2 ?UMPDDrvStrokePath@@YGHPAU_SURFOBJ@@PAU_PATHOBJ@@PAU_CLIPOBJ@@PAU_XFORMOBJ@@PAU_BRUSHOBJ@@PAU_POINTL@@PAU_LINEATTRS@@K@Z
0xbf9e3fafL 1 2 ?UMPDDrvFillPath@@YGHPAU_SURFOBJ@@PAU_PATHOBJ@@PAU_CLIPOBJ@@PAU_BRUSHOBJ@@PAU_POINTL@@KK@Z
0xbf9e4113L 1 2 ?UMPDDrvStrokeAndFillPath@@YGHPAU_SURFOBJ@@PAU_PATHOBJ@@PAU_CLIPOBJ@@PAU_XFORMOBJ@@PAU_BRUSHOBJ@@PAU_LINEATTRS@@4PAU_POINTL@@KK@Z
0xbf9e42e1L 1 2 ?UMPDDrvPaint@@YGHPAU_SURFOBJ@@PAU_CLIPOBJ@@PAU_BRUSHOBJ@@PAU_POINTL@@K@Z
0xbf96daf6L 1 3 _xxxCleanupDdeConv@4
0xbf96db89L 1 4 _xxxDDETrackWindowDying@8
0xbf8fb7beL 1 6 _xxxUnexpectedClientPost@12
0xbf8fb9c4L 1 9 _xxxUnexpectedServerPost@12
0xbf96def0L 1 2 _xxxPokeAck@12
0xbf96e122L 1 2 _xxxAdviseDataAck@12
0xbf8a86f3L 1 3 __PostMessageExtended@20
0xbf956bdeL 1 11 _NtUserfnSENTDDEMSG@28
0xbf93ee1bL 1 13 _xxxMNStartMenu@8
0xbf8aaaa8L 1 0 _xxxWrapRealDefWindowProc@20
0xbf967b95L 1 14 _xxxMNChar@12
0xbf97d233L 1 2 _DT_DrawJustifiedLine@28
0xbf815d17L 1 0 _NtUserLoadKeyboardLayoutEx@32
0xbf80881aL 1 1 _xxxInitTerminal@4
0xbf815f65L 1 0 _NtUserUpdatePerUserSystemParameters@4
0xbf89aef4L 1 53 _xxxCallHook@16
0xbf91d2a6L 1 11 _xxxCallNextHookEx@12
0xbf91d3e6L 1 3 _xxxMoveEventAbsolute@28
0xbf92eb72L 1 2 _xxxCallMouseHook@12
0xbf949948L 1 3 _xxxDoButtonEvent@4
0xbf949dd9L 1 12 _xxxButtonEvent@48
0xbf94d246L 1 32 _xxxKeyEvent@32
0xbf95f705L 1 1 _xxxCallJournalRecordHook@4
0xbf95f891L 1 3 _xxxCallJournalPlaybackHook@4
0xbf81dbabL 1 1 _xxxSendMessageFF@20
0xbf82f350L 1 3 _xxxSystemBroadcastMessage@24
0xbf902affL 1 4 _xxxBroadcastDisplaySettingsChange@8
0xbf83a800L 1 5 _xxxSendBSMtoDesktop@24
0xbf86dcb0L 1 3 _DoQueuedSyncPaint@12
0xbf875a01L 1 1 _xxxActivateApp@8
0xbf8a456bL 1 7 _xxxFocusSetInputContext@12
0xbf90055eL 1 12 _xxxResetDisplayDevice@12
0xbf95fd38L 1 8 _CancelInputState@8
0xbf84955eL 1 24 _xxxReleaseCapture@0
0xbf89a3cfL 1 20 _xxxMakeWindowForegroundWithState@8
0xbf93f0b9L 1 4 _xxxMNSetCapture@4
0xbf946e82L 1 6 _xxxSetCapture@4
0xbf963703L 1 7 _xxxSBTrackInit@16
0xbf978de3L 1 6 _xxxCancelTrackingForThread@4
0xbf819944L 1 27 _xxxSwitchDesktop@12
0xbf824d86L 1 8 _xxxSetSysColors@20
0xbf827a29L 1 1 _xxxNotifyShellOfWallpaperChange@0
0xbf86b77dL 1 0 _xxxWrapSendNotifyMessage@20
0xbf886e18L 1 22 _xxxActivateThisWindow@12
0xbf8cefd0L 1 2 _xxxFullScreenCleanup@0
0xbf8ef0b5L 1 4 _xxxSendClipboardMessage@8
0xbf90b36fL 1 5 _xxxDrawClipboard@4
0xbf938763L 1 7 _xxxSendMenuSelect@16
0xbf965d8dL 1 2 _xxxRealizeWallpaperPalette@0
0xbf96ebb4L 1 3 _xxxBroadcastPaletteChanged@8
0xbf976081L 1 9 __NotifyOverlayWindow@8
0xbf9604b1L 1 0 _DrawIconCallBack@16
0xbf960c3bL 1 6 _xxxPaintSwitchWindow@4
